hour,dif_tide_height,current_dir,wave_height,current_speed,wind_speed,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.583333333,0.106382979,0.247916667,0.108504399,0.168227801,0.622641509,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.625,0.09787234,0.113863636,0.138043189,0.371954085,0.481132075,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.666666667,0.042553191,0.079421296,0.13372434,0.438441364,0.264150943,0,1,13,0.073264781,0.183967841,0.017510643,0.985981308,0.050602979,0.949397021,0.141220423,0.271208226,0.019870011
0.708333333,0.055319149,0.093694444,0.148856305,0.388115399,0.160377358,0,1,13,0.073264781,0.183967841,0.017510643,0.985981308,0.050602979,0.949397021,0.141220423,0.271208226,0.019870011
0.75,0.09787234,0.090069444,0.15483871,0.195578868,0.264150943,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.791666667,0.119148936,0.452199074,0.144868035,0.043162233,0.273584906,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.833333333,0.131914894,0.592569444,0.105571848,0.241888348,0.198113208,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.875,0.106382979,0.574837963,0.098533724,0.459123267,0.29245283,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.916666667,0.085106383,0.560833333,0.107331378,0.489171974,0.20754717,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.958333333,0.068085106,0.543449074,0.096774194,0.465118022,0.056603774,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
1,0.085106383,0.528194444,0.080938416,0.399250656,0.08490566,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.041666667,0.10212766,0.405162037,0.078005865,0.237242413,0.037735849,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.083333333,0.131914894,0.184421296,0.100293255,0.254027726,0.122641509,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.125,0.093617021,0.090277778,0.08914956,0.480104908,0.264150943,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.166666667,0.072340426,0.060740741,0.100293255,0.568677407,0.08490566,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.208333333,0.072340426,0.048310185,0.091495601,0.524466092,0.113207547,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.25,0.080851064,0.09974537,0.08797654,0.357437242,0.179245283,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.291666667,0.093617021,0.659837963,0.09032258,0.213263394,0.198113208,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.333333333,0.093617021,0.802070707,0.118848307,0.101944889,0.301886792,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.375,0.127659574,0.626237374,0.160437216,0.281378793,0.301886792,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.416666667,0.106382979,0.592676768,0.088136497,0.485990667,0.330188679,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.458333333,0.153191489,0.553634259,0.070381232,0.540127388,0.330188679,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.5,0.204255319,0.551388889,0.096774194,0.512701386,0.556603774,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.541666667,0.174468085,0.531597222,0.1542522,0.428475084,0.735849057,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.583333333,0.131914894,0.414166667,0.135483871,0.235743724,0.377358491,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.625,0.114893617,0.175833333,0.107917888,0.261146497,0.41509434,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.666666667,0.089361702,0.088773148,0.123753665,0.345822405,0.41509434,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.708333333,0.089361702,0.1,0.194988004,0.298463844,0.518867925,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.75,0.076595745,0.105509259,0.253372434,0.210415886,0.566037736,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.791666667,0.093617021,0.095046296,0.256891496,0.063094792,0.433962264,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.833333333,0.089361702,0.650555556,0.188589709,0.095977383,0.245283019,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.875,0.110638298,0.57525463,0.160117302,0.371824653,0.245283019,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.916666667,0.068085106,0.580856481,0.171847508,0.517796928,0.169811321,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.958333333,0.072340426,0.540763889,0.226392962,0.530760584,0.433962264,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
1,0.05106383,0.544490741,0.217008797,0.489696515,0.29245283,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.041666667,0.119148936,0.505625,0.168328446,0.352416635,0.396226415,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.083333333,0.123404255,0.355046296,0.182404692,0.153915324,0.094339623,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.125,0.119148936,0.139606481,0.164222874,0.313825403,0.094339623,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.166666667,0.09787234,0.080231481,0.231085044,0.474934432,0.132075472,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.208333333,0.080851064,0.064375,0.309677419,0.512851255,0.028301887,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.25,0.093617021,0.039930556,0.295014663,0.417684526,0.358490566,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.291666667,0.068085106,0.01625,0.271554252,0.297564631,0.216981132,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.333333333,0.165957447,0.891944444,0.258064516,0.133083552,0.132075472,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.375,0.114893617,0.692523148,0.237536657,0.084750843,0.311320755,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.416666667,0.085106383,0.614791667,0.218768328,0.322892469,0.29245283,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.458333333,0.09787234,0.579699074,0.252199413,0.496065942,0.283018868,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.5,0.080851064,0.545833333,0.255131965,0.449756463,0.386792453,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.541666667,0.093617021,0.550023148,0.247507332,0.487148745,0.481132075,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.583333333,0.068085106,0.504074074,0.251026393,0.376920195,0.471698113,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.625,0.10212766,0.341994949,0.287763263,0.188187609,0.490566038,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.666666667,0.10212766,0.171527778,0.314369502,0.295841139,0.5,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
