hour,dif_tide_height,current_dir,water_temp,current_speed,wind_speed,wind_dir,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.083333333,0.131914894,0.184421296,0.223906158,0.254027726,0.122641509,0.105277778,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.125,0.093617021,0.090277778,0.222138332,0.480104908,0.264150943,0.144166667,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.166666667,0.072340426,0.060740741,0.230590748,0.568677407,0.08490566,0.218888889,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.208333333,0.072340426,0.048310185,0.228215233,0.524466092,0.113207547,0.071666667,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.25,0.080851064,0.09974537,0.231861373,0.357437242,0.179245283,0.197222222,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.291666667,0.093617021,0.659837963,0.242799794,0.213263394,0.198113208,0.134166667,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.333333333,0.093617021,0.802070707,0.248841538,0.101944889,0.301886792,0.064722222,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.375,0.127659574,0.626237374,0.245466599,0.281378793,0.301886792,0.063611111,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.416666667,0.106382979,0.592676768,0.242935394,0.485990667,0.330188679,0.074722222,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.458333333,0.153191489,0.553634259,0.247164113,0.540127388,0.330188679,0.061111111,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.5,0.204255319,0.551388889,0.221641131,0.512701386,0.556603774,0.046111111,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.541666667,0.174468085,0.531597222,0.210039776,0.428475084,0.735849057,0.024166667,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.583333333,0.131914894,0.414166667,0.222083088,0.235743724,0.377358491,0.065555556,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.625,0.114893617,0.175833333,0.221088686,0.261146497,0.41509434,0.997777778,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.666666667,0.089361702,0.088773148,0.226281673,0.345822405,0.41509434,0.001388889,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.708333333,0.089361702,0.1,0.24414073,0.298463844,0.518867925,0.861111111,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.75,0.076595745,0.105509259,0.246777401,0.210415886,0.566037736,0.843888889,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.791666667,0.093617021,0.095046296,0.235286535,0.063094792,0.433962264,0.928055556,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.833333333,0.089361702,0.650555556,0.237451117,0.095977383,0.245283019,0.906944444,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.875,0.110638298,0.57525463,0.232690041,0.371824653,0.245283019,0.979444444,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.916666667,0.068085106,0.580856481,0.234402622,0.517796928,0.169811321,0.978611111,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.958333333,0.072340426,0.540763889,0.240148055,0.530760584,0.433962264,0.959722222,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
1,0.05106383,0.544490741,0.216503388,0.489696515,0.29245283,0.996111111,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.041666667,0.119148936,0.505625,0.21943135,0.352416635,0.396226415,0.006944444,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.083333333,0.123404255,0.355046296,0.222469799,0.153915324,0.094339623,0.9475,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.125,0.119148936,0.139606481,0.216227166,0.313825403,0.094339623,0.001666667,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.166666667,0.09787234,0.080231481,0.205675457,0.474934432,0.132075472,0.693888889,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.208333333,0.080851064,0.064375,0.210315999,0.512851255,0.028301887,0,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.25,0.093617021,0.039930556,0.214901297,0.417684526,0.358490566,0.9525,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.291666667,0.068085106,0.01625,0.226392163,0.297564631,0.216981132,0.0575,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.333333333,0.165957447,0.891944444,0.235838981,0.133083552,0.132075472,0.986666667,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.375,0.114893617,0.692523148,0.23655716,0.084750843,0.311320755,0.719166667,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.416666667,0.085106383,0.614791667,0.231861373,0.322892469,0.29245283,0.686944444,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.458333333,0.09787234,0.579699074,0.243020772,0.496065942,0.283018868,0.797222222,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.5,0.080851064,0.545833333,0.252301856,0.449756463,0.386792453,0.734444444,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
