hour,wave_height,current_speed,tide_height,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.875,0.255718475,0.156463095,0.483914209,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.916666667,0.224046921,0.33136006,0.609472743,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.958333333,0.255131965,0.497115024,0.713695263,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
1,0.255718475,0.416410641,0.751563896,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.041666667,0.248093842,0.44615961,0.737078627,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.083333333,0.240469209,0.283776695,0.674262735,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.125,0.262170088,0.159010865,0.537086685,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.166666667,0.28797654,0.349269389,0.377457551,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.208333333,0.293841642,0.442487823,0.243967828,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.25,0.309677419,0.470887973,0.171023235,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.291666667,0.312609971,0.386286999,0.170352994,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.333333333,0.310263929,0.280029974,0.23603664,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.375,0.258064516,0.117647059,0.342828418,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.416666667,0.215249267,0.086324466,0.466711349,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.458333333,0.201759531,0.31022855,0.57126899,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.5,0.203519062,0.451704758,0.651027703,0,1,5,0.155743481,0.335540317,0.085217606,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.023158474
0.541666667,0.188269795,0.41843387,0.68085344,0,1,5,0.155743481,0.335540317,0.085217606,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.023158474
0.583333333,0.210557185,0.390783065,0.630473637,0,1,5,0.155743481,0.335540317,0.085217606,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.023158474
0.625,0.228152493,0.275983514,0.538762288,0,1,2,0.319943622,0.335540317,0.191969548,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.047574422
