hour,wave_height,water_temp,tide_variation,tide_height,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.541666667,0.247507332,0.227718032,0.19058296,0.676720286,0,1,7,0.276327633,0.26270986,0.119762327,0.985981308,0.050602979,0.949397021,0.224159402,0.189918992,0.052479865
0.583333333,0.251026393,0.227994255,0.130792227,0.58489723,0,1,7,0.276327633,0.26270986,0.119762327,0.985981308,0.050602979,0.949397021,0.224159402,0.189918992,0.052479865
0.625,0.287763263,0.230882038,0.444693572,0.445487042,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.666666667,0.314369502,0.249152917,0.501494768,0.313896336,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.708333333,0.317888563,0.273571008,0.331091181,0.210902592,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.75,0.346627566,0.275725545,0.200298954,0.196492404,0,1,8,0.063006301,0.26270986,0.02339927,0.985981308,0.050602979,0.949397021,0.224159402,0.189918992,0.011966093
0.791666667,0.346627566,0.258378757,0.475336323,0.238047364,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.833333333,0.301839509,0.261256495,0.242152466,0.350201072,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.875,0.255718475,0.263185032,0.664424514,0.483914209,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.916666667,0.224046921,0.261803919,0.550822123,0.609472743,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.958333333,0.255131965,0.257550088,0.397608371,0.713695263,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
1,0.255718475,0.257052888,0.277279522,0.751563896,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.041666667,0.248093842,0.228104744,0.141255605,0.737078627,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.083333333,0.240469209,0.216503388,0.226457399,0.674262735,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.125,0.262170088,0.219818061,0.250373692,0.537086685,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.166666667,0.28797654,0.208216706,0.439461883,0.377457551,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
