hour,wave_height,water_temp,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.833333333,0.26803519,0.282023424,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.875,0.241642229,0.277659104,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.916666667,0.194134897,0.283128315,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.958333333,0.182991202,0.287492634,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
1,0.158357771,0.27456541,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.041666667,0.173020528,0.26412419,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.083333333,0.152492669,0.249594873,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.125,0.156598241,0.231806129,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.166666667,0.167741935,0.224348115,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.208333333,0.185923754,0.244180907,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.25,0.213489736,0.239153654,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.291666667,0.188856305,0.241529169,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.333333333,0.150146627,0.251031232,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.375,0.141935484,0.262687832,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.416666667,0.148387097,0.27384723,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.458333333,0.121994135,0.281581467,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.5,0.107917888,0.290752062,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.541666667,0.113782991,0.278763995,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.583333333,0.095014663,0.257826311,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.625,0.117888563,0.242965527,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.666666667,0.120821115,0.240313789,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
